My underwear is dirty.	我的內衣髒了
The train leaves in ten minutes.	火車十分鐘後離開。
You can swim, can't you?	你會游泳, 不是嗎？
He prefers poetry to fiction.	比起小说，他更喜欢诗歌。
He is getting along with his employees.	他和他的員工相處。
The clock has stopped.	時鐘已經停止了。
I wasn't busy yesterday.	我昨天不忙。
Tom got into trouble because of Mary.	湯姆因為瑪麗陷入了麻煩。
Would you mind closing the door?	你介意關上門嗎？
Her goal is to become a teacher.	她的目的是成为教师。
What do tigers eat?	老虎吃什么东西？
You'll be punished if you break the law.	如果你違反了法律, 你將受到懲罰。
She was always quarreling with her parents.	她总和她父母吵架。
You must be tired after such a long trip.	在這麼長程的旅途後你一定很累了。
Mother made a doll for me.	妈妈给我做了一个洋娃娃。
I don't have the slightest intention of retiring.	我没有一点退休的念头。
The things he says are not the least bit important.	他说的话根本毫无意义。
She was in a hurry to see her father.	她急于见她的父亲。
I don't like to socialize.	我不喜欢跟人打交道。
This is a very tall tree.	这是棵很高的树。
Don't write in red ink.	別用紅墨水寫。
Where is the mailbox?	郵箱在哪裡？
I want a quart of milk.	我要一夸脫的牛奶。
Look out!	当心！
The job looked quite simple, but it took me a week.	這份工作看起來很簡單，但它花了我一個星期。
Have you ever been to Kyoto?	你去过京都吗？
I helped my father wash his car.	我幫我父親洗他的車。
I almost never lie.	我幾乎從不說謊。
We know so little about you.	我們對你知道得不多。
He should apologize for being rude to the guests.	他应该为自己对客人的粗鲁无礼而道歉。
Give me the report.	给我报告。
Tom bought a house for Mary.	汤姆给玛丽买了个房子。
You should be able to manage it.	你应该能解决。
I am thinking of closing my savings account.	我想关闭我的储蓄账户。
Be fair.	公平点。
What are you reading?	你在看什麼？
Collect your thoughts before you begin your work.	工作之前先收好思绪。
When did you go to London?	你什么时候去伦敦的？
The teacher had a bad cold.	老師患了重感冒。
That is how I learned English.	我就是这么学会英语的。
Tom bought a rose for Mary.	汤姆给玛丽买了一束玫瑰花。
He told me his life's story.	他跟我讲了他的人生故事。
I had bought it the week before.	我一周前已經買了。
Could you sign here, please?	請你在這裡簽名好嗎？
He came to Japan two years ago.	他兩年前來日本。
I'm feeling fit.	我覺得精神很好。
There's an old movie theater in town.	城裡有一家古老的電影院。
Tom should've discussed that with you.	汤姆应该跟你讨论过那事了。
How large is the population of New York City?	纽约市的人口有多少？
I have asked him.	我問過他。
How are your parents getting along?	你的父母是如何相處的？
All aboard!	请上船！
A panel of experts discussed the plan.	一個專家小組討論這個計劃。
There's no way to know.	沒有辦法知道。
Tom didn't tell me he didn't know how to swim.	汤姆没有告诉我他不会游泳。
Hokkaido is to the north of Sendai.	北海道在仙台的北方。
I paid him the money.	我付了他钱。
The manager approved our plan.	經理批准了我們的計劃。
Please get dressed.	请穿衣服。
You should have completed it long ago.	你们很久前就应该完成了。
It's snowing today.	今天下雪。
Tom broke the window.	湯姆打破了窗戶。
While I was reading in bed last night, I fell asleep with the light on.	我昨晚在床上看书的时候点着灯就睡了。
Speech is silver, but silence is golden.	雄辯如銀，沉默如金。
Everyone has strengths and weaknesses.	每个人都有他的长处和短处。
A map helps us to know where we are.	地图帮助我们知道所在的位置。
We saw Tom talking to Mary.	我们看见汤姆跟玛丽说话。
Please sing a song.	請唱一首歌。
This is the window he broke.	他砸坏的是这扇窗。
How long will the meeting last?	會議持續多久？
Electricity is very useful.	电很有用。
We talked and talked until the day broke.	我們一直聊天直到天明。
It's almost time to go to bed.	差不多是就寢的時間了。
Aren't you supposed to be at school today?	你今天不是应该在学校的吗？
Would 9 o'clock be all right?	9點可以嗎？
We expect to win.	我们打算赢。
I think it's OK.	我想沒關係。
The worst is over.	最壞的已經過去了。
My cell phone has a built-in digital camera.	我的手機有內建的數位相機。
He is rarely in a good mood.	他很少心情很好。
Bring the key.	帶鑰匙來。
We failed due to a lack of preparation.	我們因缺乏準備而失敗了。
It's a good deal.	这是一笔不错的交易。
I wrote down that telephone number.	我寫下了那個電話號碼。
Tom will now be proud of me.	汤姆现在会以我为傲。
Let's do it another time.	再找時間吧。
Mommy, may I go swimming?	媽咪，我可以去游泳嗎？
Tom said he'd think about my suggestion.	汤姆说他会考虑我的问题。
I'm new at this kind of work.	我新接触這種工作。
I asked her for a date.	我向她提出約會的請求。
I'm going to propose to her.	我打算向她求婚。
Admission is free for children.	儿童免费入场。
I wish I could buy you everything you wanted.	我希望我能买下你想要的所有东西。
Who wants hot chocolate?	谁要热巧克力？
He was kind enough to lend me some money.	他够大方，借了我一点钱。
You're too generous.	你太大方了。
I'll see you next month.	我下個月會來看你。
We had a heavy frost this morning.	今天早上天氣嚴寒。
Are you busy today?	你今天忙吗？
It's better than nothing.	有比沒有好。
Have there been any changes?	有過任何改變嗎？
You'll have to play it by ear at the interview.	在面試的時候你必須見機行事。
My brother wants to study abroad.	我哥哥要出國唸書。
I asked him to go there tomorrow.	我要求他明天去那裡。
Wood floats.	木头会漂浮。
He made mistakes on purpose to annoy me.	他为了惹恼我故意犯错。
Do you think they noticed?	你认为他们注意了吗？
I want to eat out tonight.	我今晚想出去吃。
She takes care of my children.	她照顧我的孩子。
It came to nothing.	这没有结果。
Behave yourself.	规矩点。
It's your favorite song.	它是你最喜歡的歌。
He may come and see us tonight.	他今天晚上可能來看我們。
I'm not greedy.	我不貪婪。
I don't need anything.	我什么都不需要。
She made me a nice dress.	她做了一件好看的衣服給我。
I drank a cup of water.	我喝了一杯水。
He is taking a walk.	他正在散步。
You should take the number 5 bus.	您应该乘5路车。
He admonished them for being noisy.	他告誡他們不要吵鬧。
Oh no!	不会吧。
Do you know how to speak English?	你知道怎麼說英語嗎？
He kept me waiting all morning.	他讓我等了整整一上午。
As long as you are here, we might as well begin.	既然你在這裡, 那我們就開始吧。
He skis in Hokkaido every winter.	他每年冬天在北海道滑雪。
Iron is a useful metal.	铁是个有用的金属。
All three of you are very lucky.	你們三個很走運。
You should do your homework now.	你應該現在做功課。
Her birthday party will be tomorrow evening.	她的生日宴會將在明天晚上。
Your father is tall.	你爸爸很高。
I'm sure you'll be back before long.	我确定你不久就回来。
There were no mistakes.	没有错误。
Tom is a lot younger than Mary is.	汤姆比玛丽年轻许多。
I like your city.	我喜欢你们的城市。
I suggest you turn around and go back home.	我建議你轉身回家。
I go to church every day.	我每天上教堂。
It was very hot this afternoon.	今天下午非常炎熱。
Tom has been really busy recently.	汤姆最近相当忙。
I'll be seeing you.	我會見到你。
How many friends do you have?	你有多少朋友？
I cut a branch from the tree.	我從樹上砍下了一根樹枝。
He weighs a lot more than before.	他比以前重得多。
Spanish is her mother tongue.	西班牙语是她的母语。
We have to think about it.	我們必須考慮它。
The mountain is covered with snow.	这座山被雪覆盖了。
Get away!	走開！
Give me a light, would you?	借個火，好嗎?
Water is liquid. When it freezes, it becomes solid.	水是液体。冻起来就成了固体。
I'll provide you with all the necessary information.	我會給你所有必要的信息。
I am sorry. I am not from here.	抱歉，我不是本地人。
We met at the church.	我们在教堂里遇到。
Tom enjoys gardening.	汤姆享受园艺。
You can shut up now.	你現在可以住口了。
I made him carry the suitcase.	我要他提行李箱。
Life without love is just totally pointless.	没有爱情的生活毫无意义。
The baby is sleeping in the cradle.	嬰兒正在搖籃裡睡覺。
My father told me where to go.	我爸爸告诉我去哪儿。
Are you certain this is what you want?	你确定这就是你想要的吗？
I agree with you on this point.	我同意你這一點。
You've put on weight, haven't you?	你的體重增加了，不是嗎？
We forgive you.	我們原諒你。
I want you out of my room.	我想讓你離開我的房間。
An apple fell to the ground.	一個蘋果落到了地上。
I'm sorry, but I can't hear you well.	對不起，但我聽不太清楚你說話。
Will you help me move this desk?	你能幫我搬這張桌子嗎？
Speaking foreign languages is not easy.	講外語是不容易的。
Money takes a long time to earn, but you can spend it in no time.	錢要花很長的時間來賺, 但你可以一下子就花掉它了。
I am not used to drinking coffee without sugar.	我不习惯喝无糖咖啡。
She ignored all my warnings.	她忽視了我所有的警告。
You should pay more attention to his warnings.	你應該多注意他的警告。
We've just finished breakfast.	我們剛剛吃完了早飯。
Will you switch seats with me?	您愿意跟我换座位吗？
What did you have for lunch?	你午饭吃的什么？
Tom wanted to see Mary's room.	湯姆想看看瑪麗的房間。
I have things to take care of.	我有些事。
This book is very thick.	这本书非常厚。
Tom spent most of the morning straightening up his office.	汤姆花了大半早晨整理他的办公室。
My office is on the fifth floor.	我的辦公室在五樓。
Let's start!	讓我們開始吧。
Please show your ticket.	请出示您的票子。
I have lost my watch.	我把我的表丢了。
Let's find out who sent this to us.	讓我們查查誰送給我們這個。
She returned the book to the library.	她把書還給了圖書館。
Since I had met him once before, I recognized him right away.	由於我以前見過他一次，所以我馬上就認出他了。
That won't ever happen.	那从不会发生。
It's obvious that he lied.	顯然地他撒了謊。
I've never been abroad before.	我以前从没去过国外。
The best hairdressers are gay.	最好的理发师是同性恋。
The patient is steadily recovering.	這個病人正在穩定地康復中。
I had a vision.	我有一个愿景。
How many people know about us?	有多少人知道我們？
Tom is unbelievably stupid.	汤姆傻得难以置信。
How long are you staying in Japan?	你將在日本住多久？
Tom wanted revenge.	湯姆想報仇。
You owe me something.	你欠我點東西。
Movie making is an exciting job.	電影製作是一個令人興奮的工作。
Did you watch the soccer game on television?	你在电视上看足球赛了吗？
You chose this job yourself, right?	你自己选择了这份工作，是吗？
Promises aren't enough.	承諾是不夠的。
It was so still that you would have heard a pin drop.	安靜到連針掉在地上的聲音你都會聽得到。
The house is burning.	這房子正在燃燒著。
He kicked the ball into the goal.	他把球踢進了球門。
There are 50 members in the club.	這個俱樂部有50位成員。
Please leave.	請你離開。
Three voted against the idea.	有三票反对这主意。
You can't depend on Tom.	你不能靠湯姆。
There was a cottage on the side of the hill.	山坡上有一个茅屋。
When did she promise to meet him?	她答应几时见他？
Do you believe in ghosts?	你相信有幽灵吗？
He did not eat anything yesterday.	他昨天沒有吃任何東西。
Today is one of my friends' birthday.	今天是我一个朋友的生日。
It's no use arguing with him.	跟他吵没用。
They waited for their teacher.	他們等待著他們的老師。
Let's play basketball after school.	讓我們放學後打籃球。
You could have done it.	你本來可以做的。
Tom was on the list.	湯姆在名單上。
He ordered a cup of tea.	他點了一杯茶。
We both know why I'm here.	我們都知道我為甚麼在這裡。
She will make him a good wife.	她会是他的好妻子。
Have you ever been to New York?	您已经去过纽约了吗？
I couldn't remember their names.	我不記得他們的名字了。
I am short.	我个头矮。
Sorry, that was none of my business.	對不起, 那不關我的事。
You look very charming today.	今天你看起来很迷人啊。
It's improved.	它有改善了。
He wants to be a tennis player.	他想成為一名網球選手。
Tom's name was on the list.	湯姆的名字在名單上。
Tom is very talented.	汤姆多才多艺。
They arrived in Osaka at the beginning of May.	他们五月初到了大阪。
I've lost my watch.	我把我的表丢了。
I don't think we'd have any chance of winning.	我认为我们没有机会赢。
This hotel was built last year.	這家旅館是去年蓋的。
They are having a chat.	他們正在聊天。
The audience was very large.	观众人数庞大。
Now it's your serve.	現在該你發球。
She elbowed her way onto the train.	她擠上了火車。
This pen doesn't write well.	这支笔不太好用。
She is wearing a white dress today.	她今天穿著白色的衣服。
There were many people at the concert.	演唱會上有許多人。
She freshened herself up before supper.	她在晚飯前把自己梳洗打扮了一下。
Where's the phone book?	电话簿在哪里？
This is a good movie.	這是一部好電影。
Tom found me a taxi.	湯姆幫我叫了輛計程車。
I sort of understand.	我大概懂了。
You weren't here then.	你那時不在這裡。
I believe you.	我信过你。
They are having a party tomorrow.	明天他們將舉行派對。
She knows a lot about the latest fashions.	她很了解最新的時尚趨勢。
What exactly happened to you?	你到底怎麼回事啊？
The students learned many poems by heart.	学生们用心学习了很多首诗。
Are you saying Tom's hiding something from us?	你说Tom对我们隐藏了一些事情？
They let me go.	他們讓我走。
I should have tried out this electric shaver before buying it.	我本该在买下这个电动剃须刀之前试一下的。
Wherever you go, I will follow you.	無論你去哪裡我都會跟著你。
It's wrong to deceive people, but worse to deceive yourself.	欺騙別人是錯的, 但更糟的欺騙自己。
This makes me so angry.	這讓我非常憤怒。
We helped them as well.	我們也幫助他們。
What about you?	你們呢？
The policeman aimed his gun at the man.	警察瞄准了那个男人。
Where are my books?	我的書在哪？
Thank you for the wonderful dinner.	為這美好的晚餐謝謝你。
I waited for her for a really long time.	我真的等了她很長一段時間。
This is a small town.	这是个小镇。
She wears a lot of makeup.	她化着浓妆。
What's the weather like there?	那儿是什么天气？
Let's take a bus.	讓我們搭公車吧。
The parking lot is free of charge.	停车场是免费的。
I can't believe Tom kissed me.	我不敢相信汤姆亲了我。
We kept them quiet.	我們讓他們保持安靜。
He gave us the signal to begin.	他給了我們信號讓我們開始。
You shouldn't eat here.	你不该在这里吃饭。
We visited the museum last week.	我們上週參觀了博物館。
Tom is absent.	湯姆缺席。
You people can't help yourselves.	你们这些人帮不了自己。
Which book is yours?	哪本是你的书？
What's your favorite radio station?	你最喜歡的電台是什麼？
She made a man of him.	她使他長大成人。
He likes playing football.	他喜歡踢足球。
He accomplished his mission.	他完成了他的使命。
I am interested in Asian history.	我对亚洲的历史很感兴趣。
Tom looked Mary in the eye.	湯姆與瑪麗對視。
When he retired, his son took over the business.	他退休的时候，他儿子接手了他的生意。
I am eating rice.	我在吃米饭。
Can you write a letter in English?	你會用英語寫一封信嗎？
Let me know where you're staying.	讓我知道你住在哪裡。
Just give me your name and address.	只要給我你的姓名和住址。
He asked for a drink of water.	他要了水喝。
It is windy today.	今天有风。
You should've done it earlier. It can't be helped now.	你本应该早点做的。现在已经没有任何办法了。
My stomach is full.	我的胃是脹滿的。
He earns three times more than me.	他赚的比我多三倍。
Yes, of course.	是的，當然。
She was in a hurry.	她在趕時間。
Stop joking around.	不要隨便開玩笑。
Tomorrow is Mother's Day.	明天是母親節。
Tom will likely never do that again.	湯姆不太會再去做那事了。
I wonder what will happen.	我不知道會發生甚麼。
Where do you want to go today?	你今天想去哪儿呀？
I didn't want this to happen.	我不想这种事发生。
I have just eaten lunch.	我剛吃過午飯。
We caught some large fish there.	我們在那裡抓了一些大魚。
Deal with them.	解决他们。
I lent Tom my camera.	我把我的相機借給了湯姆。
I feel as if I've woken up from a nightmare.	我覺得我好像從惡夢中驚醒。
Well, let's go.	好吧，我們走吧。
I suggest that you don't trust Tom too much.	我建議你別太相信湯姆。
It is difficult to play the piano.	彈鋼琴很困難。
You or I will be chosen.	你或者我会被选中。
What's the weight of your suitcase?	你的行李多重？
I will make you happy.	我会让你幸福的。
Who else in Boston do you know?	你还認識波士頓的誰？
The buses run every ten minutes.	公共汽車每10分鐘一班。
We'll go when it quits raining.	雨停了我們就會去。
We don't expect Tom to live much longer.	我们不指望汤姆能活得更久。
A doctor told me that eating eggs was bad for me.	一位医生告诉过我，吃鸡蛋对我的健康有害。
The doctor will be here in a minute.	醫生馬上就來。
Her mother is writing a letter.	她的母親正在寫信。
Fluency in English is a must.	流利的英語是必須的。
He comes here almost every day.	他几乎每天都来。
I find it hard to get up early on cold mornings.	我覺得在寒冷的早晨很難早起。
My problem is I don't trust you.	我的问题是我不信任你。
We take it for granted that he will succeed in his business.	我们认为他的生意理所当然会获得成功。
Tom was a bit puzzled by Mary's answer.	汤姆被玛丽的回答困惑了一下。
Where have you been?	你一直在哪里？
He refused to shake hands with me.	他拒绝跟我握手。
You had better go to the dentist's.	你最好去看牙醫。
I'm right.	我是對的。
A lot of students around the world are studying English.	世界上許多學生正在學習英語。
They bought a box of cookies.	他们买了一盒曲奇。
She's good at handling children.	她善於處理兒童。
He came to my house on the pretext of seeing me.	他打着见我的幌子来了我家。
He dressed up as a woman.	他打扮得像女人一樣。
What do you think about that?	你認為如何?
Please kill the lights.	请关灯。
Turn on the radio, please.	请打开收音机。
An old man was resting in the shade of the tree.	一個老人在樹蔭下休息。
I took a shower.	我洗了澡。
I'm not ashamed of my father being poor.	我父亲很穷并不让我觉得丢脸。
He doesn't have to go to school.	他不必上學。
He knows a lot about foreign affairs.	他知道很多外國事務。
Tom has apparently done that already.	很明顯，湯姆已經做完了。
I wish you could have been there.	要是你能在那裡就好了。
Grandmother sent us a box of apples.	奶奶送了我們一箱蘋果。
What subject do you like best?	你最喜歡哪一個科目?
Will you explain the rule to me?	你能帮我说明一下规则吗？
It's a pleasure to have you with us again.	真高兴你又跟我们在一起了。
What happened? The car's slowing down.	發生了什麼事？車子慢下來了。
My favorite sport is baseball.	我最喜歡的運動是棒球。
The wind blew too hard for them to play in the park.	风刮得太猛，他们没法在公园里玩了。
They should all be fired.	他們全部都應該被開除。
I'm not going to show any fear.	我不会表现出恐惧。
I hope that you are very well.	我希望你很健康。
How much is the commission?	手续费是多少？
Do we have milk in the fridge?	我们冰箱里有牛奶吗？
He works with me at the office.	他跟我在這間辦公室一起工作。
I can play tennis.	我會打網球。
You may use my dictionary.	你可以用我的字典。
He has no eye for women.	他對女人沒有眼光。
We'd better talk.	我们谈谈比较好。
You don't have any money.	您沒有任何錢。
She taught me how to swim.	她教我如何游泳。
Will you take part in the ceremony?	你會參加這個儀式嗎?
He is twice as old as she is.	他的年龄是她的两倍。
I am sorry to trouble you.	我很抱歉給你添麻煩了。
It looks like Tom has a crush on Mary.	看来汤姆热恋着玛丽。
You'd better take it easy.	你最好放松。
I truly do not understand the question.	我真的不懂这个问题。
There is a park near my house.	我家附近有一個公園。
You're in big trouble.	你们有大麻烦了。
He is a baseball player.	他是个棒球手。
I don't fear death.	我不怕死。
It's none of your concern.	这不关你的事。
I go to church on Sunday.	周日我去做礼拜。
Tom is coming, too.	汤姆也来。
She's a girl, but she's brave.	她是個女孩，但她勇敢。
You should give up smoking and drinking.	你该戒烟戒酒了。
His new car is wonderful.	他的新車很棒。
That's a great poem.	這是一首很棒的詩。
That car belongs in a museum.	那辆车属于一家博物馆。
The couple had a son.	这对夫妇生了个儿子。
Where is Room 105?	105号房间在哪里？
My plan is to buy a car.	我打算買輛車。
I'm a teacher.	我是個老師。
I didn't go to school last Monday.	上周一我没去上学。
Tom is a Vietnam veteran.	汤姆是一个越军退役军人。
Wood burns.	木材燃燒。
My brother seems to enjoy himself at college.	我弟弟似乎在大学过得很愉快。
He was severe with his children.	他对自己的孩子很严格。
You can tell us.	你能告诉我们。
Tom is not easily satisfied.	Tom不容易被滿足。
He's afraid of snakes.	他怕蛇。
I'd like to pay by credit card.	我想用信用卡支付。
I ate caviar.	我吃了魚子醬。
I am convinced that he is innocent.	我相信他是無辜的。
He hasn't come yet.	他還沒來。
I remember seeing you last year.	我記得去年看過你。
She is far better today than yesterday.	她今天比昨天要好很多。
Tom has absolutely no enemies.	汤姆绝没有敌人。
He drank three bottles of beer.	他喝了三瓶啤酒。
Would you lend me your bicycle?	你可以借我你的腳踏車嗎?
We still have many other things to discuss.	我们还有许多别的事情要讨论。
How's the apple?	這個蘋果怎麼樣？
How about playing chess tonight?	今晚下棋怎麼樣？
She filled the glass with wine.	她在玻璃杯裡裝滿了酒。
I'm looking for a small suitcase.	我正在找一個小手提箱。
Tom managed to find a new job.	汤姆找到了新工作。
What have you come here for?	你们来这儿干嘛？
Whose book is this?	這是誰的書？
Chocolate has more iron than spinach.	巧克力含有比菠菜更多的鐵質。
A beautiful girl sat next to me.	一個美麗的女孩坐在我旁邊。
My uncle comes to see me from time to time.	我叔叔偶爾來看我。
I was born on April 3, 1950.	我出生于1950年4月3日。
Germany was once allied with Italy.	德国曾是意大利的同盟国。
I don't have a computer at home.	我家没有电脑。
I am writing a draft of the speech.	我在寫演講的草稿。
She looked well when I last saw her.	上次我见到她的时候，她看上去挺好的。
Have any letters arrived for me?	到的有我的信吗？
She helped him overcome his sadness.	她幫助他平撫了他的悲傷。
Are you studying English?	你在研讀英語嗎？
You don't look so happy.	你看来不大高兴。
See you at the party.	在派對上見。
I've just finished eating breakfast.	我剛吃完了早飯。
It's one of the reasons.	這是其中一個原因。
Everyone except me was invited.	除了我，每个人都受到了邀请。
You're a real friend.	你是個真正的朋友。
It would be great if you could sing.	如果你唱歌的話一定很棒。
Tom said he thought he should study French.	湯姆說他認為他該學法語。
My father made me wash the car.	我父親要我洗車。
The two of us are students.	我們兩個是學生。
What's it like being Tom's girlfriend?	做汤姆的女朋友怎么样？
My father is healthy.	父亲很健康。
The United States is abundant in natural resources.	美国的自然资源很丰富。
Love doesn't exist.	愛不存在。
We've not done well.	我们没有做好。
All you have to do is to wait.	所有您要做的，就是等待。
She seems to be unhappy.	她看起來不快樂。
Please do not open the windows.	请不要开窗。
We're having a party this evening.	我們今天晚上將舉行派對。
My uncle made me serve as interpreter.	我叔叔讓我擔任翻譯。
I'm as tall as my father.	我跟我父親一樣高。
I bought that car.	我買了那輛車。
He passed the entrance examination.	他通過了入學考試。
Please say it once more.	請再說一次。
Tom is a student.	湯姆是個學生。
She complained that my salary was low.	她抱怨我的薪水很低。
No matter where you go, I'll follow you.	無論你去哪裡我都會跟著你。
Do you have these shoes in my size?	你們這款鞋子有我的尺寸嗎?
Here is the bill.	这是账单。
Is that the station?	那是車站嗎？
He ate all of the apple.	他把整个苹果都吃了。
Can I eat my lunch here?	我能在這裡吃午飯嗎？
I owe my success to him.	我把我的成功歸功於他。
Our baseball team is very strong.	我們的棒球隊很強。
What do we want?	我們要什麼？
Take the road on the left.	走左邊的道路。
You're not satisfied, are you?	你并不满意，对吧？
Don't forget to take the first-aid kit.	别忘了带上急救箱。
It rarely snows in this area.	这片区域很少下雪。
Her father made her tell him everything.	她的父親要她告訴他一切。
You're a beautiful young woman.	你是一个美丽的女孩。
Leave a space between the lines.	行與行之間要留一個空間。
The price of gas is rising.	天然氣的價格上升。
My stomach hurts.	我胃痛。
I can talk for a bit.	我会说一点儿。
See you soon!	一会儿见！
He lives in that house over there.	他住在那邊的那間房子。
That wasn't so hard, was it?	那不难，是吧？
It will be fine this afternoon.	今天下午天氣會很好。
He was very busy all day.	他忙了一整天。
It may sound strange, but what she said is true.	聽起來或許有點怪，但她說的是真的。
I used to play tennis.	我以前打网球。
I spent the whole day reading that novel.	我一整天都在看这本小说。
I advertised my house in the newspaper.	我在报纸上刊登了我的房子的广告。
Take whichever you want.	拿你想要的。
I couldn't sleep.	我睡不著。
She gave him a sweater.	她给他一件毛衣。
I see you found your bag.	我见你找到了你的包。
He hit the ball with his racket.	他用他的球拍擊球。
It is getting lighter outside.	外面天色越來越亮了。
Are you still collecting stamps?	你還在收集郵票嗎？
I'm serious.	我是認真的。
I used to have a friend named Tom.	我曾有个朋友叫汤姆。
Some people criticized our decision.	一些人批评了我们的决定。
This clock loses three minutes a day.	这个钟每天慢三分钟。
Everybody desires happiness.	每个人都向往幸福。
My wife wants to adopt a child.	我妻子想收养一个孩子。
She began crying.	她开始哭泣。
So what will you do in the afternoon?	您下午做啥呢？
He is two years older than you.	他比你大兩歲。
It was a very stupid decision.	这是一个十分愚蠢的决定。
A glass of cold water is very refreshing in hot weather.	一杯冷水在暑热的天气里十分提神。
I thought that you wanted to see me.	我以为你想见我呢。
I bought a book.	我買了一本書。
I don't like my hair at all.	我根本不喜歡我的頭髮。
He is married with two children.	他已婚並育有兩個孩子。
The beach is an ideal place for children to play.	海滩是一个供孩子们玩乐的理想场所。
Waste not, want not.	不浪費則不匱乏。
There is a man at the door who wants to see you.	门口有个男人想见你。
Two men are checking on what's wrong with the car.	两个男人在检查汽车出了什么故障。
We think that he's honest.	我們認為他誠實。
I didn't suspect anything.	我沒有懷疑任何事。
Take care of yourself.	照顾好自己。
He participated in the debate.	他参加辩论
This is my daughter.	這是我女兒。
He rescued the dog at the risk of his own life.	他冒着生命危险救了那条狗。
It's on the tip of my tongue.	它在我的舌尖上。
As far as I know, he did nothing wrong.	据我所知，他没做错任何事。
The monkey fell from the tree.	猴子從樹上掉了下來。
"Do you speak German?" "No, I don't."	"你說德語嗎?" "不，我不說。"
That's weird, isn't it?	那真奇怪，不是么？
I am dying for a cold drink.	我迫切需要冷饮。
I'm grateful for what Tom did.	我很感激汤姆所做的。
I wonder what this phrase means.	我想知道这句话的意思。
She doesn't speak Japanese at home.	她在家不說日語。
You are very early this morning.	你今天早上非常早。
She was sitting under a tree.	她在一棵树下坐着。
Let's talk about what you did in Boston.	让我们谈谈你在波士顿做的事。
Tom built his own motorcycle.	湯姆造了他自己的摩托車。
We haven't yet been told what we need to do.	還沒人告訴我們要做甚麼。
She's good at handling children.	她對孩子很有一套。
"Will you have some more coffee?" "No, thanks. I've had enough."	“你想再来点咖啡吗？”“不，谢谢。我够了。”
What would you say to Tom?	你要对汤姆说些什么？
Some of my friends can speak English well.	我的一些朋友英语说得很好。
Don't interrupt our conversation.	不要打斷我們的談話。
Stop that!	住手。
Please wait for me at the entrance of the building.	请在建筑的入口处等我。
It's a waste of time.	这是浪费时间。
UN stands for the United Nations.	UN代表聯合國。
Don't make noise when you eat soup.	當你喝湯的時候不要發出聲音。
This is all he has to do.	這是所有他必須做的事。
The bill amounted to 100 dollars.	帐单金额高达100美元。
He sometimes goes to work by car.	他有時開車去上班。
I had a dream about him.	我夢到了他。
I'm looking for my keys. Have you seen them?	我正在找钥匙，你看见了吗？
I'm just a regular office worker.	我只是一個普通的上班族。
I cannot afford to buy a car.	我買不起一輛車。
My sister can play the piano better than I can.	我妹妹鋼琴可以彈得比我好。
I could hardly hear him.	我幾乎聽不到他的聲音。
I poured water into the bucket.	我把水倒入了桶子裡。
The population of London is much greater than that of any other British city.	倫敦的人口遠遠多於其他英國城市的人口。
Neither of those two students passed the test.	兩個學生都沒通過考試。
You should have refused his offer.	你應該拒絕他的提議的。
That boy denies stealing the bicycle.	那个男孩否认偷了自行车。
You may make use of his library.	你可以利用他的图书馆。
Tom was late for dinner.	湯姆晚餐遲到了。
Mother Teresa was given the Nobel prize.	特蕾莎修女被授予諾貝爾獎。
He studied very hard.	他学习非常努力。
I'll get you whatever you want.	我會給你任何你想要的東西。
If you have a question, please raise your right hand.	如果有问题，请举起你的右手。
Dad gave me a book, and my little brother gave me a pen.	爸爸給了我一本書, 弟弟給了我一枝筆。
The longer I stayed in Paris, the more I liked it.	在巴黎待得越久，我就越喜欢巴黎。
This train stops at every station.	這班火車每站都停。
Stop grumbling.	停止发牢骚吧。
I spent last Sunday reading a novel.	我上週日花時間看了一本小說。
Four hundred million people speak English as their first language.	四億人以英語作為他們的第一語言。
Tom went to Boston three years ago.	汤姆三年前去了波士顿。
The police are checking their bags.	警察正在检查他们的包。
Get into your car.	进你的车里。
She didn't have much money.	她沒有很多錢。
Chinese is a tonal language.	漢語是一個聲調語言。
Stay down!	趴着！
The doctor cured him of his cancer.	醫生治好了他的癌症。
What have you done with my pen?	你把我的筆怎麼了?
I hope everything will be fine in the end.	我希望最后一切都好。
Who is the secretary?	谁是秘书？
Tom can't ride a horse.	湯姆不能騎馬。
He refuses to believe us.	他拒绝相信我们。
Tom fell into a vat of sulfuric acid.	Tom 摔倒进一桶硫酸中
Look what happened.	看看發生了什麼。
Would you please close that window?	請您把那扇窗戶關起來好嗎？
A typhoon is approaching Japan.	颱風正接近日本。
Will you use this?	你要用這個嗎？
I retired last year.	我去年退休了。
I rejected the offer.	我拒绝了报价。
I can't remember how to go there.	我不記得怎麼去那裡了。
They live in peace.	他们过着和平的生活。
It is impossible to master English in a short time.	不可能短时间内学会英语。
I gave her just what she needed.	我給她的正是她所需要的。
You should be more reasonable.	你应该更明智一点。
That car is quite new.	那辆车十分新。
It's a surprise.	这是一个惊喜。
You're a beautiful young woman.	你是一个美丽的女人。
Many schools are closed today because of the storm.	今天许多学校因为风暴停课。
My house is close to a bus stop.	我的房子靠近一個公車站牌。
Tom can do so much better than me.	湯姆可以比我做得好很多。
Hopefully, we'll enjoy our China trip.	希望我們會喜歡我們的中國之旅。
Are you dating anybody?	你跟人約會過嗎？
Hey, I may have no money, but I still have my pride.	嗨，我可能没钱，但我一直有我的骄傲。
Seen from the sky, the river looked like a huge snake.	从天上看下来，这条河像一条巨蛇。
